record_id,user_id,food_id,recipe_id,restaurant_id,mood,emotion,weather,season,disease_context,calorie_target,recommended_at,score,reason,status
rec_0000001,user_00196,food_000434,,restaurant_00027,Focused,excited,Heatwave,Navratri,Digestive Disorder,1795.0,2026-07-27T05:15:57.936118+00:00,0.504,Citizen college say beat power poor both local beyond both exactly.,served
rec_0000002,user_00076,food_000371,recipe_000051,,Cheerful,determined,Cold,Eid,Diabetes,1528.0,2026-07-27T05:15:57.936212+00:00,0.521,Tough billion pretty remain without yourself dinner television eye water training.,served
rec_0000003,user_00049,food_000031,recipe_000076,,Motivated,lonely,Cloudy,Autumn,,2234.0,2026-07-27T05:15:57.936253+00:00,0.549,Herself no century general field he view laugh grow effect admit new finish leave.,bookmarked
rec_0000004,user_00170,food_000394,,,Cozy,nostalgic,Cool,Navratri,,2021.0,2026-07-27T05:15:57.936283+00:00,0.383,Analysis statement natural simply enter conference and read environmental today bring soon outside turn bar agree.,skipped
rec_0000005,user_00153,food_000303,,,Savory,mellow,Festive,Valentine,,1512.0,2026-07-27T05:15:57.936309+00:00,0.588,Black reveal it heavy have item then five feel where class learn not democratic.,served
rec_0000006,user_00159,food_000470,recipe_000027,,Romantic,focused,Misty,Citrus Season,,1591.0,2026-07-27T05:15:57.936334+00:00,0.312,Executive hit see general describe join bed debate stop benefit miss if.,skipped
rec_0000007,user_00041,food_000341,,restaurant_00032,Sunny,lonely,Snowy,Thanksgiving,,1657.0,2026-07-27T05:15:57.936362+00:00,0.405,Animal join bit himself hold nothing treat good perhaps site likely sit theory soon business.,served
rec_0000008,user_00163,food_000416,recipe_000164,,Sunny,satisfied,Festive,Warm Weather,,1699.0,2026-07-27T05:15:57.936384+00:00,0.321,Unit while five raise enter person daughter letter station campaign land.,skipped
rec_0000009,user_00162,food_000139,recipe_000182,,Comfort,joyful,Cold,Warm Weather,,2120.0,2026-07-27T05:15:57.936405+00:00,0.64,State shoulder example international building serve want model.,skipped
rec_0000010,user_00142,food_000322,recipe_000181,,Adventurous,joyful,Rainy,Citrus Season,,1947.0,2026-07-27T05:15:57.936427+00:00,0.686,Friend series despite region teach task away chair place machine couple majority.,recommended
rec_0000011,user_00189,food_000066,,,Motivated,calm,Snowy,Berry Season,,2004.0,2026-07-27T05:15:57.936448+00:00,0.531,Dream company world should affect without close owner body size interview surface woman expert.,served
