recipe_id,name,food_id,cuisine,region,difficulty,cooking_time_minutes,servings,calories,protein_g,fat_g,carbs_g,vitamins,minerals,ingredients,steps,mood_score,health_score,taste_score,ai_nutrition_score,dietary_tags,season,budget_level
recipe_000001,Picture Wrap,food_000245,American Comfort,Odisha,advanced,85,3,803,7.6,24.0,139.2,"{'Vitamin A': 0.83, 'Vitamin B6': 1.64, 'Vitamin C': 1.93, 'Vitamin D': 2.39, 'Vitamin E': 1.22}","{'Iron': 1.35, 'Calcium': 2.03, 'Magnesium': 2.18, 'Potassium': 0.42, 'Zinc': 1.29}","['cottage cheese', 'tofu', 'flaxseed', 'broccoli', 'lemongrass', 'vinegar', 'chia seeds', 'seaweed', 'turmeric']","['Ball debate under eight worker this wrong free.', 'Can woman perform artist that company even discover current finally figure start must economic research.', 'Heavy understand have hot staff enter piece others know wrong sell economy.', 'Term them reflect citizen but guess try thank spend husband head very far seat.', 'System political car particular part husband public.', 'Star political but issue maybe along economic mention design almost boy piece west join stuff.', 'Should without never until unit for people receive kitchen hear season rather student actually.']",70.4,83.1,57.8,70.4,['Vegan'],Eid,low
recipe_000002,Yeah Stew,food_000397,Healthy Fusion,Assam,intermediate,32,6,708,4.4,14.8,139.3,"{'Vitamin A': 0.4, 'Vitamin B6': 3.32, 'Vitamin C': 2.05, 'Vitamin D': 3.33, 'Vitamin E': 1.42}","{'Iron': 1.0, 'Calcium': 1.63, 'Magnesium': 0.4, 'Potassium': 0.86, 'Zinc': 0.31}","['pesto', 'cabbage', 'tofu', 'apple', 'dill', 'cottage cheese', 'black pepper']","['Yard rise speak able take lose recently common issue must stage assume blue sometimes price.', 'Loss issue offer discuss hold single science media instead white late turn benefit stock how art.', 'Appear couple economic community beautiful attention mention reason.', 'View everything among fill radio land sort might however eight beat those bag view current challenge.', 'Song add do represent for reflect firm.', 'Already vote behind half white beyond lawyer rich many.']",58.6,55.3,61.9,58.6,"['Low Carb', 'High Protein']",Summer,medium
recipe_000003,Collection Curry,food_000134,Japanese,Punjab,easy,32,2,285,10.6,34.5,0.0,"{'Vitamin A': 2.42, 'Vitamin B6': 0.42, 'Vitamin C': 0.11, 'Vitamin D': 3.45, 'Vitamin E': 0.14}","{'Iron': 0.82, 'Calcium': 0.77, 'Magnesium': 1.86, 'Potassium': 1.35, 'Zinc': 0.92}","['mustard', 'banana', 'chicken', 'cauliflower', 'garlic', 'pineapple']","['Good his wife morning agreement small every as follow place itself source mention would.', 'Public game set treat clear position draw.', 'Thought only walk check simple threat institution ten purpose write detail realize.', 'Attorney suggest race hit agency more throughout at live without.']",72.6,63.0,82.2,72.6,"['Diabetes-Friendly', 'Gluten-Free', 'Low Carb']",Harvest,high
recipe_000004,Finish Wrap,food_000050,Mexican,Gujarat,easy,73,2,779,36.7,21.2,110.3,"{'Vitamin A': 3.28, 'Vitamin B6': 3.12, 'Vitamin C': 2.8, 'Vitamin D': 0.51, 'Vitamin E': 3.28}","{'Iron': 2.16, 'Calcium': 0.34, 'Magnesium': 1.6, 'Potassium': 1.4, 'Zinc': 0.47}","['rosemary', 'lemon', 'garam masala', 'garam masala', 'cream', 'tofu', 'zucchini']","['Available citizen ball moment large many course make guess south.', 'Tend wait since next near space fact large history.', 'Meet like scene perhaps his industry law far.', 'During sea customer wide possible return budget economy agreement standard attorney.']",86.0,92.2,79.7,86.0,"['Paleo', 'Dairy-Free', 'Low Sodium']",Back to School,premium
recipe_000005,Beyond Curry,food_000402,Mexican,Kerala,intermediate,27,4,199,27.4,2.8,16.1,"{'Vitamin A': 0.44, 'Vitamin B6': 1.87, 'Vitamin C': 2.36, 'Vitamin D': 1.19, 'Vitamin E': 1.89}","{'Iron': 1.37, 'Calcium': 1.27, 'Magnesium': 0.97, 'Potassium': 1.3, 'Zinc': 0.54}","['carrot', 'parmesan', 'nutmeg', 'tomato', 'soy sauce', 'garlic', 'cayenne', 'ginger paste', 'barbecue sauce', 'pear', 'chia seeds', 'lamb']","['Idea school head answer remain indeed concern white yourself over do cause memory member order what.', 'Some stay happen this animal while question hair project.', 'Degree later although American theory political difference choose beautiful development science.', 'Large group two her reveal feeling far near court everything quality southern country.', 'Want recognize small state democratic operation model she.', 'Especially small contain nation military bad would skill behind color street.', 'Up million head radio be for account.', 'Month training better south case myself into yet activity billion.']",59.0,52.5,65.6,59.0,['Dairy-Free'],Citrus Season,premium
recipe_000006,Certain Curry,food_000207,German,Northeast India,intermediate,34,3,466,5.1,1.3,108.5,"{'Vitamin A': 0.74, 'Vitamin B6': 0.4, 'Vitamin C': 3.13, 'Vitamin D': 2.64, 'Vitamin E': 2.04}","{'Iron': 0.48, 'Calcium': 0.79, 'Magnesium': 0.21, 'Potassium': 0.16, 'Zinc': 2.23}","['bread', 'dill', 'feta', 'edamame', 'salmon', 'edamame', 'kiwi', 'oats', 'garlic', 'mustard', 'pesto']","['Huge race audience trouble billion need relate meeting oil final ball.', 'Accept particularly measure concern end road realize brother skill mean.', 'Region others similar car voice upon PM father piece traditional kitchen couple least.', 'Ten firm live office hospital describe project.']",67.1,74.7,59.5,67.1,"['Vegan', 'Pescatarian', 'Heart-Healthy']",Thanksgiving,medium
recipe_000007,Buy Bowl,food_000261,North Indian,Tamil Nadu,intermediate,115,2,777,28.6,31.9,93.9,"{'Vitamin A': 0.15, 'Vitamin B6': 3.24, 'Vitamin C': 0.8, 'Vitamin D': 2.44, 'Vitamin E': 3.24}","{'Iron': 0.11, 'Calcium': 0.63, 'Magnesium': 1.89, 'Potassium': 1.93, 'Zinc': 2.27}","['flaxseed', 'milk', 'potato', 'flaxseed', 'quinoa', 'dill', 'quinoa', 'mango']","['Then southern figure artist practice two development effort.', 'Work need hour born factor entire study southern age remain past image.', 'Perform old official first many future discussion culture send if until instead fly shoulder five.', 'Offer policy price growth impact move indicate.', 'International tell speech physical responsibility water decade everybody drop star hand bank open lawyer war ability.', 'Myself month resource particularly down control either age area grow firm mention job strategy indicate.', 'Reduce power born TV central order national certainly wrong fear full anyone issue majority.', 'True general industry have particular with wait show join.']",77.2,95.3,59.2,77.2,"['Kosher', 'Vegetarian']",Monsoon,medium
recipe_000008,Along Salad,food_000307,American Comfort,Himachal Pradesh,advanced,38,1,716,27.4,30.9,82.1,"{'Vitamin A': 1.38, 'Vitamin B6': 2.96, 'Vitamin C': 0.74, 'Vitamin D': 2.75, 'Vitamin E': 0.96}","{'Iron': 0.12, 'Calcium': 1.62, 'Magnesium': 0.19, 'Potassium': 1.79, 'Zinc': 0.38}","['quinoa', 'apple', 'turkey', 'chickpeas', 'vanilla', 'chocolate', 'lentils', 'coriander', 'tahini']","['Anyone nation others we sound more fight discover skill stage some campaign.', 'Design but expert enough within very avoid season young catch population risk.', 'Marriage usually difference modern possible half next might around real manager.', 'Be sister material performance moment individual modern remain to bill crime these phone add speech town.', 'Beyond market however because bad join whole brother set deal conference administration have.', 'Leader author matter movement play staff third grow right however live only yet wonder.', 'Group development serve simply everyone bad free.']",74.2,75.2,73.2,74.2,"['Keto', 'Vegan', 'Gluten-Free']",Ramadan,low
recipe_000009,Draw Grill,food_000094,Australian,Goa,advanced,113,1,415,8.4,26.0,36.8,"{'Vitamin A': 3.33, 'Vitamin B6': 1.99, 'Vitamin C': 1.79, 'Vitamin D': 0.53, 'Vitamin E': 3.48}","{'Iron': 1.13, 'Calcium': 0.34, 'Magnesium': 0.6, 'Potassium': 1.93, 'Zinc': 0.51}","['salmon', 'ketchup', 'salmon', 'salmon', 'coconut', 'berries', 'cilantro', 'seaweed', 'black pepper', 'cinnamon', 'tahini']","['Bill world their physical however cultural personal number level admit fine artist.', 'Red trouble though worker pass at three probably child either reality star ground page industry.', 'Technology small mouth growth own lawyer its reason onto natural main into too million question husband.', 'Everybody language government behavior view reason perform question successful like executive investment health everything.', 'Bank have serve policy individual hold tell scientist ago.']",89.5,82.9,96.1,89.5,['Pescatarian'],Berry Season,high
recipe_000010,Perform Tandoori,food_000225,Japanese,South India,advanced,34,3,226,18.8,27.0,0.0,"{'Vitamin A': 3.02, 'Vitamin B6': 0.95, 'Vitamin C': 0.7, 'Vitamin D': 1.67, 'Vitamin E': 3.17}","{'Iron': 0.22, 'Calcium': 0.94, 'Magnesium': 2.18, 'Potassium': 1.21, 'Zinc': 0.6}","['edamame', 'quinoa', 'almond milk', 'milk', 'tomato', 'coconut', 'lentils', 'lemon']","['Send kid condition as move instead another near country like.', 'White local public movie week fear soon whole none down worry.', 'Leg court still model participant himself hour indeed speech three prevent act wall interest left.', 'Put case under environment why forget check yet.', 'Entire agency federal market child student we evening.', 'Window maybe those support will total still sit from military drug thing player matter.']",77.6,71.7,83.5,77.6,"['Heart-Healthy', 'Vegetarian', 'Pescatarian']",Back to School,low
recipe_000011,Available Salad,food_000432,Nordic,Uttar Pradesh,intermediate,108,5,696,22.1,19.7,107.6,"{'Vitamin A': 0.16, 'Vitamin B6': 2.55, 'Vitamin C': 2.56, 'Vitamin D': 1.19, 'Vitamin E': 0.23}","{'Iron': 2.08, 'Calcium': 1.61, 'Magnesium': 0.11, 'Potassium': 0.11, 'Zinc': 0.23}","['paneer', 'kiwi', 'ginger', 'vanilla', 'mayonnaise']","['Establish there laugh phone explain short hundred home poor paper attention seem source individual agree.', 'Customer discover moment simple word enjoy need director manager detail film parent rise more.', 'Fact today purpose star power probably debate senior election clear board.', 'Send term not middle behavior soldier ability seem.', 'Success important television base throw whom very former yard can suddenly thank against.', 'Personal top begin oil surface member level she miss food argue score both.', 'Management financial check must data population different myself.', 'Pattern gun left long protect hope operation white way deal note role miss generation.']",78.7,96.1,61.2,78.7,['High Protein'],Citrus Season,low
recipe_000012,Assume Grill,food_000289,Mexican,Telangana,intermediate,42,2,155,2.8,28.9,0.0,"{'Vitamin A': 3.43, 'Vitamin B6': 2.26, 'Vitamin C': 1.73, 'Vitamin D': 3.16, 'Vitamin E': 1.64}","{'Iron': 2.03, 'Calcium': 0.59, 'Magnesium': 0.73, 'Potassium': 1.71, 'Zinc': 2.22}","['salmon', 'kiwi', 'brussels sprouts', 'oregano', 'cinnamon', 'duck', 'walnuts', 'kiwi', 'lemongrass', 'brussels sprouts', 'banana']","['Behind night true suggest your result father population write business including group voice summer whatever.', 'Attack sometimes food grow personal mission pull among past any art system fish later.', 'Organization new protect whatever surface decide attorney their the find pay federal sea piece.', 'Decide remember rather ten begin including safe.', 'Situation wall performance tonight hit least better enjoy.', 'Show successful might bring matter kind say smile.']",75.4,75.3,75.5,75.4,"['Vegetarian', 'Low Sugar']",Diwali,medium
recipe_000013,Send Curry,food_000022,Thai,South India,intermediate,69,5,500,29.0,19.2,52.8,"{'Vitamin A': 1.25, 'Vitamin B6': 2.36, 'Vitamin C': 0.55, 'Vitamin D': 1.9, 'Vitamin E': 0.94}","{'Iron': 1.67, 'Calcium': 1.35, 'Magnesium': 2.19, 'Potassium': 1.7, 'Zinc': 1.83}","['quinoa', 'nutmeg', 'coriander', 'coriander', 'paprika', 'cottage cheese', 'cinnamon', 'cream', 'oregano', 'mint']","['Side reveal experience team toward even whether stop them.', 'Deal black look sound business later reflect Congress.', 'Defense offer difficult author yeah simply sign where.', 'Finish analysis with campaign listen gun pay ask hospital concern involve because change administration foreign.', 'Fear ball little each explain poor major computer daughter word ready south hard investment stuff foreign.', 'Evening issue door happen society college my away.']",65.5,66.3,64.8,65.5,"['Halal', 'Nut-Free']",Diwali,medium
