food_id,food_name,category,cuisine,meal_type,calories,protein,fat,carbs,fiber,sugar,sodium,vitamin_a,vitamin_c,calcium,iron,potassium,glycemic_index,is_vegetarian,is_vegan,allergens,recommended_for,avoid_for,mood,season,image_url
1,Masala Dosa,South Indian,Breakfast,Breakfast,150,4,5,24,3,2,220,120,15,40,2,180,55,Yes,No,Milk,"Weight Loss;Heart Health","Lactose Intolerance",Happy,All,/images/foods/masala_dosa.jpg
2,Paneer Tikka,North Indian,Snacks,Dinner,320,18,24,8,2,3,350,200,5,250,3,220,30,Yes,No,Milk,"High Protein","High Cholesterol",Energetic,All,/images/foods/paneer_tikka.jpg
3,Vegetable Khichdi,Indian,Lunch,Lunch,240,8,5,42,6,3,180,180,18,60,3,250,45,Yes,Yes,None,"Diabetes;Digestive Health",None,Relaxed,All,/images/foods/veg_khichdi.jpg
4,Poha,Indian,Breakfast,Breakfast,180,5,4,32,3,2,180,110,10,25,2,170,50,Yes,Yes,None,"Weight Loss",None,Happy,All,/images/foods/poha.jpg
5,Idli,South Indian,Breakfast,Breakfast,120,4,1,24,2,1,120,50,2,15,1,100,35,Yes,Yes,None,"Easy Digestion",None,Relaxed,All,/images/foods/idli.jpg
6,Upma,South Indian,Breakfast,Breakfast,210,6,5,34,3,2,220,90,6,20,2,180,52,Yes,Yes,Gluten,"Balanced Diet",None,Energetic,All,/images/foods/upma.jpg
7,Rajma Chawal,North Indian,Lunch,Lunch,350,14,6,58,10,3,300,150,12,70,4,450,55,Yes,Yes,None,"Iron Deficiency","Kidney Disease",Energetic,Winter,/images/foods/rajma_chawal.jpg
8,Chole,North Indian,Lunch,Lunch,310,15,7,46,11,4,280,180,15,80,4,420,48,Yes,Yes,None,"High Protein",None,Happy,Winter,/images/foods/chole.jpg
9,Oats Porridge,Global,Breakfast,Breakfast,190,7,3,32,5,2,90,80,4,120,2,250,40,Yes,Yes,None,"Diabetes;Weight Loss",None,Calm,All,/images/foods/oats_porridge.jpg
10,Vegetable Salad,Global,Salad,Lunch,90,3,2,16,5,5,60,250,35,60,2,300,20,Yes,Yes,None,"Heart Health;Weight Loss",None,Fresh,All,/images/foods/vegetable_salad.jpg
11,Vegetable Pulao,Indian,Lunch,Lunch,280,6,7,46,4,3,220,120,10,35,2,260,52,Yes,Yes,None,"Balanced Diet",None,Happy,All,/images/foods/vegetable_pulao.jpg
