restaurant_id,name,cuisines,location_city,location_area,latitude,longitude,opening_hours,rating,delivery_time_minutes,price_level,offers,cuisine,diet_options,healthy_menu_tags,mood_menu_tags,menu_item_ids
restaurant_00001,Tanner Kitchen,"['Healthy Fusion', 'Thai']",North Jefferyside,Sanchez Rue,35.825687,-10.706482,6:00 - 23:00,5.0,56,$$$,"['Happy hours', 'Free delivery']",Healthy Fusion,"['Heart-Healthy', 'High Protein']","['low calorie', 'gluten free']","['Sweet', 'Comforting']","['food_000071', 'food_000292', 'food_000357', 'food_000195', 'food_000115']"
restaurant_00002,Jackson Cafe,['North Indian'],East Rebecca,Ralph Haven,16.841602,78.845704,7:00 - 22:00,3.7,30,$$$,"['Weekend special', 'Free delivery']",North Indian,"['Heart-Healthy', 'Low Sugar']","['protein rich', 'heart healthy']","['Nostalgic', 'Calm']","['food_000041', 'food_000437', 'food_000161', 'food_000315', 'food_000149']"
restaurant_00003,Duran House,"['Peruvian', 'Spanish', 'Brazilian']",Staffordbury,Morgan Port,20.110331,-54.474861,8:00 - 23:00,4.3,35,$$$,"['Combo discount', 'Weekend special']",Peruvian,"['Low Carb', 'Pescatarian']","['low sugar', 'protein rich']","['Nostalgic', 'Festive']","['food_000403', 'food_000038', 'food_000406', 'food_000460', 'food_000157']"
restaurant_00004,Marshall House,['Japanese'],South David,Pope Islands,45.536669,-92.715099,11:00 - 22:00,3.6,48,$$,"['Combo discount', 'Free delivery']",Japanese,"['Low Carb', 'Heart-Healthy']","['heart healthy', 'low sugar']","['Comfort', 'Peaceful']","['food_000389', 'food_000347', 'food_000429', 'food_000337', 'food_000359']"
restaurant_00005,Jones House,['East Asian'],Lake Paul,Powell Key,-81.406038,-61.852318,9:00 - 21:00,4.2,50,$$,"['Free delivery', 'Combo discount']",East Asian,"['Keto', 'Diabetes-Friendly']","['protein rich', 'low calorie']","['Comfort', 'Sweet']","['food_000229', 'food_000067', 'food_000032', 'food_000354', 'food_000089']"
restaurant_00006,Gallagher Kitchen,"['Nordic', 'North Indian']",Damonberg,Patterson Ports,-31.171773,143.725601,10:00 - 22:00,3.4,60,$$$$,"['Happy hours', 'Combo discount']",Nordic,"['Nut-Free', 'High Protein']","['gluten free', 'protein rich']","['Adventurous', 'Energized']","['food_000126', 'food_000006', 'food_000022', 'food_000155', 'food_000143']"
restaurant_00007,Hensley House,"['Peruvian', 'French']",Calebburgh,Hughes Stravenue,77.20207,-126.582588,10:00 - 21:00,4.1,21,$$$$,"['Free delivery', 'Combo discount']",Peruvian,"['Keto', 'Gluten-Free']","['low calorie', 'protein rich']","['Motivated', 'Cheerful']","['food_000440', 'food_000202', 'food_000443', 'food_000183', 'food_000271']"
restaurant_00008,Mcdonald Grill,"['Japanese', 'American Comfort', 'Caribbean']",Port Brandonton,Thomas Lodge,23.0408,122.249839,6:00 - 23:00,4.9,25,$$$,"['Weekend special', 'Free delivery']",Japanese,"['Gluten-Free', 'Paleo']","['low sugar', 'gluten free']","['Social', 'Festive']","['food_000357', 'food_000168', 'food_000204', 'food_000199', 'food_000114']"
restaurant_00009,Wang Kitchen,['Healthy Fusion'],West Elizabethton,Timothy Stream,-81.349573,-106.306717,7:00 - 21:00,4.7,30,$$$,"['Free delivery', '10% off']",Healthy Fusion,"['High Protein', 'Keto']","['low sugar', 'heart healthy']","['Nostalgic', 'Focused']","['food_000136', 'food_000209', 'food_000107', 'food_000336', 'food_000056']"
restaurant_00010,Williams Kitchen,"['Healthy Fusion', 'Moroccan']",Hallton,Jones Club,38.557012,-30.353322,11:00 - 23:00,4.6,54,$$$$,"['10% off', 'Weekend special']",Healthy Fusion,"['Nut-Free', 'Halal']","['protein rich', 'low sugar']","['Sunny', 'Sweet']","['food_000492', 'food_000026', 'food_000079', 'food_000454', 'food_000413']"
