food_id,name,cuisine,category,region,season,weather,price_tier,calories,protein_g,fat_g,carbs_g,allergens,diet_options,mood_tags,health_score,taste_score,rating,description
food_000001,Smoked Desserts,Indonesian,Snacks,Karnataka,Valentine,Stormy,low,834,5.9,26.1,143.9,[],['Gluten-Free'],"['Social', 'Calm', 'Peaceful']",76.3,78.5,4.1,Meeting read scientist perhaps community study close without unit scientist still require white through month college exist teacher.
food_000002,Roasted Desserts,Peruvian,Breakfast,Rajasthan,Thanksgiving,Warm,low,300,38.4,12.1,9.4,"['sesame oil', 'sesame']",['Heart-Healthy'],"['Spicy', 'Romantic', 'Sunny']",50.1,59.0,4.1,Number least analysis worker matter professional direction head success push dog girl yet.
food_000003,Herbed Smoothies,Moroccan,Soups,Himachal Pradesh,Summer,Stormy,medium,364,19.2,29.3,5.9,"['hazelnut', 'almond']","['Gluten-Free', 'Dairy-Free', 'Nut-Free']","['Focused', 'Spicy', 'Calm']",63.8,62.0,3.9,Drug face might reflect shake short name unit themselves along recently.
food_000004,Roasted Dinner,North Indian,Soups,Punjab,Navratri,Misty,high,296,36.7,20.1,0.0,"['celery', 'cashew', 'nightshades']",['Low Carb'],"['Adventurous', 'Calm', 'Spicy']",56.3,85.9,4.5,Free should yard order arm begin such under camera role detail amount under late positive.
food_000005,Creamy Pasta,North Indian,Snacks,Kerala,Citrus Season,Humid,high,145,16.6,21.1,0.0,[],"['Keto', 'Nut-Free', 'Low Carb']","['Festive', 'Cheerful', 'Romantic']",58.3,75.1,3.9,Show others social score must mission result ball majority start two trade.
food_000006,Golden Salads,Peruvian,Rice Dishes,Himachal Pradesh,Citrus Season,Heatwave,medium,236,16.2,6.1,29.1,[],"['Nut-Free', 'High Protein', 'Vegetarian']","['Romantic', 'Comforting', 'Nostalgic']",93.9,96.0,3.1,Base site short executive move capital current present risk something war federal us almost design age sport try claim.
food_000007,Idli Platter,East Asian,Desserts,Central India,Ramadan,Seasonal,high,296,37.3,26.6,0.0,"['almond', 'cashew', 'lupin']","['Heart-Healthy', 'Vegan']","['Calm', 'Savory', 'Relaxed']",82.8,84.7,3.0,Anyone responsibility risk character show skin box picture ok memory conference bag chair.
food_000008,Smoked Main Course,Mediterranean,Lunch,Andhra Pradesh,Summer,Heatwave,premium,765,20.4,19.1,127.9,"['fish', 'garlic', 'corn']",['Keto'],"['Romantic', 'Cozy', 'Comforting']",91.8,86.1,3.8,Wall cell ball ten write forward less fill event.
food_000009,Smoked Curry,Caribbean,Plant-based,Gujarat,New Year,Dry,medium,539,7.3,6.8,112.2,[],"['Keto', 'Vegetarian']","['Spicy', 'Comfort', 'Relaxed']",91.3,74.9,3.3,Cover challenge different close threat eight while some discuss process stay student look hundred loss.
food_000010,Zesty Bread,Italian,Plant-based,Odisha,Diwali,Thunderstorm,medium,815,20.5,7.1,167.3,[],"['Nut-Free', 'Vegetarian', 'Heart-Healthy']","['Sweet', 'Happy', 'Peaceful']",48.1,64.4,3.1,Forget scientist Republican toward worry state challenge ever may modern anything.
food_000011,Golden Lunch,Japanese,Snacks,Jammu & Kashmir,New Year,Holiday,premium,714,5.1,23.2,121.2,"['shellfish', 'almond']","['Nut-Free', 'Keto', 'Paleo']","['Sunny', 'Adventurous', 'Nostalgic']",61.8,79.3,3.6,Subject everyone guess operation various rate seem manager recent tax option where now.
